ref,realm,biome,habitat,island,tropical,PET,taxon,growth,thermo,trophic,EH,EHcat,unit,EA,grain,extent,n,ES,var,
1,Neo,12,mix,1,1,1556.33,pla,her,pla,aut,top,ele,isl,0,4,4,31,1.10,0.04,
1,Neo,12,mix,1,1,1556.33,pla,her,pla,aut,top,ele,isl,0,4,4,16,-0.08,0.08,
1,Neo,12,mix,1,1,1556.33,pla,her,pla,aut,top,ele,isl,0,4,4,21,0.60,0.06,
1,Neo,12,mix,1,1,1556.33,pla,her,pla,aut,top,ele,isl,0,4,4,10,1.42,0.14,
1,Neo,12,mix,1,1,1556.33,pla,her,pla,aut,top,ele,isl,0,4,4,9,1.12,0.17,
2,Pal,12,mix,0,0,706.53,pla,shr,pla,aut,top,ele,gri,0,4,4,168,0.67,0.01,
2,Pal,12,mix,0,0,622.11,pla,shr,pla,aut,top,ele,gri,0,4,4,108,0.24,0.01,
3,mix,12,mix,1,1,1614.33,bir,ani,end,mix,top,ele,isl,0,4,4,14,1.50,0.09,
4,Afr,12,mix,0,1,1817.80,pla,her,pla,aut,top,ele,pol,0,4,4,29,0.56,0.04,
5,Afr,9,gra,0,1,1587.66,pla,mix,pla,aut,top,ele,plo,1,1,3,102,0.45,0.01,
5,Afr,9,gra,0,1,1587.66,pla,mix,pla,aut,top,ele,plo,1,1,3,102,0.31,0.01,
5,Afr,9,gra,0,1,1587.66,pla,mix,pla,aut,top,ele,plo,1,1,3,102,0.32,0.01,
5,Afr,9,gra,0,1,1587.66,pla,mix,pla,aut,top,ele,plo,1,1,3,102,0.16,0.01,
6,Afr,12,mix,0,0,1664.09,mam,ani,end,mix,veg,pla,gri,1,4,4,111,1.31,0.01,
6,Afr,12,mix,0,0,1664.09,pla,shr,pla,aut,top,ele,gri,1,4,4,65,0.66,0.02,
7,Pal,3,mix,0,0,1074.51,bir,ani,end,mix,lan,lcd,gri,1,3,2,106,1.33,0.01,
7,Pal,3,mix,0,0,1074.51,her,ani,ect,mix,lan,lcd,gri,1,3,2,106,0.73,0.01,
7,Pal,3,mix,0,0,1074.51,her,ani,ect,mix,lan,lcd,gri,1,3,2,106,0.74,0.01,
7,Pal,3,mix,0,0,1074.51,inv,ani,ect,her,lan,lcd,gri,1,3,2,106,1.07,0.01,
8,Neo,9,for,0,1,1753.37,mam,ani,end,mix,veg,vec,plo,1,2,1,5,1.59,0.50,
8,Neo,9,for,0,1,1753.37,mam,ani,end,mix,veg,vec,plo,1,2,1,5,2.09,0.50,
8,Neo,9,for,0,1,1753.37,mam,ani,end,car,veg,vec,plo,1,2,1,5,1.59,0.50,
8,Neo,9,for,0,1,1753.37,mam,ani,end,car,veg,vec,plo,1,2,1,5,2.09,0.50,
8,Neo,9,for,0,1,1753.37,mam,ani,end,ins,veg,vec,plo,1,2,1,5,1.33,0.50,
8,Neo,9,for,0,1,1753.37,mam,ani,end,ins,veg,vec,plo,1,2,1,5,1.83,0.50,
8,Neo,9,for,0,1,1753.37,mam,ani,end,fru,veg,vec,plo,1,2,1,5,1.59,0.50,
8,Neo,9,for,0,1,1753.37,mam,ani,end,fru,veg,vec,plo,1,2,1,5,2.09,0.50,
8,Neo,9,for,0,1,1753.37,mam,ani,end,mix,veg,vec,plo,1,2,1,5,1.59,0.50,
8,Neo,9,for,0,1,1753.37,mam,ani,end,mix,veg,vec,plo,1,2,1,5,1.42,0.50,
8,Neo,9,for,0,1,1753.37,mam,ani,end,mix,veg,vec,plo,1,2,1,5,1.59,0.50,
8,Neo,9,for,0,1,1753.37,mam,ani,end,mix,veg,vec,plo,1,2,1,5,2.09,0.50,
8,Neo,9,for,0,1,1753.37,mam,ani,end,mix,veg,vec,plo,1,2,1,5,1.59,0.50,
8,Neo,9,for,0,1,1753.37,mam,ani,end,mix,veg,vec,plo,1,2,1,5,1.42,0.50,
9,Pal,5,mix,0,0,908.56,inv,ani,ect,mix,lan,lcd,pol,0,3,2,16,1.44,0.08,
10,Pal,5,for,0,0,965.68,bir,ani,end,mix,lan,lcd,plo,0,2,1,27,0.53,0.04,
10,Pal,5,for,0,0,965.68,inv,ani,ect,car,lan,lcd,plo,0,2,1,27,-0.04,0.04,
10,Pal,5,for,0,0,965.68,inv,ani,ect,car,lan,lcd,plo,0,2,1,27,0.13,0.04,
10,Pal,5,for,0,0,965.68,bir,ani,end,mix,lan,lcp,plo,0,2,1,27,-0.63,0.04,
10,Pal,5,for,0,0,965.68,inv,ani,ect,car,lan,lcp,plo,0,2,1,27,-0.08,0.04,
10,Pal,5,for,0,0,965.68,inv,ani,ect,car,lan,lcp,plo,0,2,1,27,0.25,0.04,
11,Pal,5,gra,0,0,911.03,inv,ani,ect,car,lan,lcp,pol,1,2,2,42,0.23,0.03,
11,Pal,5,gra,0,0,911.03,inv,ani,ect,her,lan,lcp,pol,1,2,2,42,0.35,0.03,
11,Pal,5,gra,0,0,911.03,inv,ani,ect,her,lan,lcp,pol,1,2,2,42,0.43,0.03,
11,Pal,5,gra,0,0,911.03,inv,ani,ect,car,lan,lcp,pol,1,2,2,42,0.09,0.03,
11,Pal,5,gra,0,0,911.03,inv,ani,ect,her,lan,lcp,pol,1,2,2,42,0.32,0.03,
11,Pal,5,gra,0,0,911.03,inv,ani,ect,her,lan,lcp,pol,1,2,2,42,0.38,0.03,
11,Pal,5,gra,0,0,911.03,inv,ani,ect,car,lan,lcp,pol,1,2,2,42,0.33,0.03,
11,Pal,5,gra,0,0,911.03,inv,ani,ect,her,lan,lcp,pol,1,2,2,42,0.48,0.03,
11,Pal,5,gra,0,0,911.03,inv,ani,ect,her,lan,lcp,pol,1,2,2,42,0.53,0.03,
12,Pal,3,for,0,0,1030.34,inv,ani,ect,her,veg,vec,pol,0,3,2,13,-0.13,0.10,
12,Pal,3,for,0,0,1030.34,inv,ani,ect,her,veg,vec,pol,0,3,2,13,-0.34,0.10,
12,Pal,3,for,0,0,1030.34,inv,ani,ect,her,veg,vec,pol,0,3,2,13,-0.02,0.10,
12,Pal,3,for,0,0,1030.34,inv,ani,ect,her,veg,vec,pol,0,3,2,13,-0.15,0.10,
12,Pal,3,for,0,0,1030.34,inv,ani,ect,her,veg,vec,pol,0,3,2,13,-0.27,0.10,
13,Neo,12,mix,0,0,1297.74,bir,ani,end,car,veg,vec,gri,1,4,4,245,1.24,0.00,
14,Pal,3,agr,0,0,1344.64,bir,ani,end,mix,lan,lcd,gri,1,1,1,32,0.47,0.03,
14,Pal,3,agr,0,0,1344.64,bir,ani,end,mix,lan,lcd,gri,1,1,1,40,0.30,0.03,
14,Pal,3,agr,0,0,1344.64,bir,ani,end,mix,lan,lcd,gri,1,1,1,25,0.60,0.05,
15,Nea,5,agr,0,0,1100.30,bir,ani,end,mix,veg,pla,pol,1,2,1,6,0.13,0.33,
16,Nea,7,for,0,0,1088.63,bir,ani,end,mix,veg,vec,pol,0,3,2,12,1.14,0.11,
17,Pal,5,mix,1,0,591.80,inv,ani,ect,omn,veg,pla,isl,0,3,3,17,1.29,0.07,
17,Pal,5,mix,1,0,591.80,inv,ani,ect,omn,lan,lcd,isl,0,3,3,18,1.63,0.07,
17,Pal,5,mix,1,0,591.80,inv,ani,ect,omn,lan,lcd,isl,0,3,3,18,1.54,0.07,
18,Aus,12,mix,0,1,1923.13,pla,shr,pla,aut,lan,lcd,gri,0,4,3,15,0.08,0.08,
18,Aus,12,mix,0,1,1923.13,pla,shr,pla,aut,lan,lcd,gri,0,4,3,15,0.12,0.08,
19,Neo,12,for,0,1,1649.82,inv,ani,ect,her,mix,mix,pol,0,3,4,21,0.79,0.06,
19,Neo,12,for,0,1,1649.82,inv,ani,ect,her,soi,sod,pol,0,3,4,21,0.62,0.06,
19,Neo,12,for,0,1,1649.82,inv,ani,ect,her,lan,lcd,pol,0,3,4,21,0.66,0.06,
19,Neo,12,for,0,1,1649.82,inv,ani,ect,her,top,ele,pol,0,3,4,21,0.52,0.06,
19,Neo,12,for,0,1,1649.82,inv,ani,ect,her,mix,mix,pol,0,3,4,21,0.50,0.06,
19,Neo,12,for,0,1,1649.82,inv,ani,ect,her,lan,lcd,pol,0,3,4,21,0.45,0.06,
19,Neo,12,for,0,1,1649.82,inv,ani,ect,her,mix,mix,pol,0,3,4,21,0.48,0.06,
19,Neo,12,for,0,1,1649.82,inv,ani,ect,her,lan,lcd,pol,0,3,4,21,0.65,0.06,
19,Neo,12,for,0,1,1649.82,inv,ani,ect,her,top,ele,pol,0,3,4,21,0.78,0.06,
19,Neo,12,for,0,1,1649.82,inv,ani,ect,her,mix,mix,pol,0,3,4,21,0.48,0.06,
19,Neo,12,for,0,1,1649.82,inv,ani,ect,her,lan,lcd,pol,0,3,4,21,0.56,0.06,
19,Neo,12,for,0,1,1649.82,inv,ani,ect,her,mix,mix,pol,0,3,4,21,0.81,0.06,
19,Neo,12,for,0,1,1649.82,inv,ani,ect,her,soi,sod,pol,0,3,4,21,0.74,0.06,
19,Neo,12,for,0,1,1649.82,inv,ani,ect,her,lan,lcd,pol,0,3,4,21,0.46,0.06,
19,Neo,12,for,0,1,1649.82,inv,ani,ect,her,top,ele,pol,0,3,4,21,0.56,0.06,
19,Neo,12,for,0,1,1649.82,inv,ani,ect,her,mix,mix,pol,0,3,4,21,0.62,0.06,
19,Neo,12,for,0,1,1649.82,inv,ani,ect,her,soi,sod,pol,0,3,4,21,0.54,0.06,
19,Neo,12,for,0,1,1649.82,inv,ani,ect,her,lan,lcd,pol,0,3,4,21,0.65,0.06,
19,Neo,12,for,0,1,1649.82,inv,ani,ect,her,top,ele,pol,0,3,4,21,0.42,0.06,
20,Neo,10,mix,0,1,1624.05,mam,ani,end,mix,top,mic,plo,0,1,1,20,0.03,0.06,
20,Neo,10,mix,0,1,1624.05,mam,ani,end,mix,cli,cli,plo,0,1,1,7,1.41,0.25,
20,Neo,10,mix,0,1,1624.05,mam,ani,end,mix,cli,cli,plo,0,1,1,7,0.58,0.25,
20,Neo,10,mix,0,1,1624.05,mam,ani,end,mix,cli,cli,plo,0,1,1,7,1.01,0.25,
21,Nea,2,xer,1,0,1764.03,her,ani,ect,mix,top,ele,isl,0,4,3,25,0.61,0.05,
21,Nea,2,xer,1,0,1764.03,her,ani,ect,mix,veg,pla,isl,0,4,3,25,1.14,0.05,
21,Nea,2,xer,1,0,1764.03,her,ani,ect,mix,veg,ved,isl,0,4,3,12,0.81,0.11,
22,Pal,5,mix,0,0,1011.63,inv,ani,ect,her,top,ele,gri,0,4,3,43,0.51,0.02,
23,mix,12,mix,1,0,913.45,pla,mix,pla,aut,top,ele,isl,0,4,4,25,0.41,0.05,
23,mix,12,mix,1,0,913.45,pla,mix,pla,aut,top,ele,isl,0,4,4,25,0.64,0.05,
23,mix,12,mix,1,0,913.45,inv,ani,ect,mix,top,ele,isl,0,4,4,25,0.03,0.05,
23,mix,12,mix,1,0,913.45,inv,ani,ect,mix,top,ele,isl,0,4,4,25,0.46,0.05,
23,mix,12,mix,1,0,913.45,bir,ani,end,mix,top,ele,isl,0,4,4,25,0.07,0.05,
23,mix,12,mix,1,0,913.45,bir,ani,end,mix,top,ele,isl,0,4,4,25,0.10,0.05,
23,mix,12,mix,1,0,913.45,mam,ani,end,mix,top,ele,isl,0,4,4,25,0.47,0.05,
23,mix,12,mix,1,0,913.45,inv,ani,ect,mix,veg,pla,isl,0,4,4,25,1.06,0.05,
23,mix,12,mix,1,0,913.45,inv,ani,ect,mix,veg,pla,isl,0,4,4,25,0.87,0.05,
23,mix,12,mix,1,0,913.45,bir,ani,end,mix,veg,pla,isl,0,4,4,25,0.83,0.05,
23,mix,12,mix,1,0,913.45,bir,ani,end,mix,veg,pla,isl,0,4,4,25,0.75,0.05,
23,mix,12,mix,1,0,913.45,mam,ani,end,mix,veg,pla,isl,0,4,4,25,0.65,0.05,
23,mix,12,mix,1,0,913.45,bir,ani,end,mix,veg,pla,isl,0,4,4,25,0.96,0.05,
23,mix,12,mix,1,0,913.45,bir,ani,end,mix,veg,pla,isl,0,4,4,25,0.95,0.05,
24,Pal,5,agr,0,0,698.39,inv,ani,ect,car,lan,lcp,pol,1,2,3,21,0.65,0.06,
25,Aus,3,for,0,0,1386.44,bir,ani,end,mix,veg,vec,plo,1,2,1,48,0.11,0.02,
25,Aus,3,for,0,0,1386.44,bir,ani,end,mix,veg,ved,plo,1,2,1,48,0.00,0.02,
25,Aus,3,for,0,0,1386.44,bir,ani,end,mix,veg,vec,plo,1,2,1,48,0.30,0.02,
25,Aus,3,for,0,0,1386.44,bir,ani,end,mix,veg,ved,plo,1,2,1,48,-0.26,0.02,
25,Aus,3,for,0,0,1386.44,bir,ani,end,mix,veg,ved,plo,1,2,1,48,0.37,0.02,
25,Aus,3,for,0,0,1386.44,bir,ani,end,mix,veg,vec,plo,1,2,1,48,0.21,0.02,
26,Oce,12,mix,1,0,1239.35,inv,ani,ect,mix,lan,lcd,isl,0,4,3,14,1.90,0.09,
27,Neo,8,for,0,1,1821.47,inv,ani,ect,her,veg,pla,tra,1,1,1,60,1.78,0.02,
28,Nea,12,mix,0,0,712.01,pla,shr,pla,aut,cli,cli,gri,0,4,4,337,0.20,0.00,
28,Nea,12,mix,0,0,712.01,pla,shr,pla,aut,cli,cli,gri,0,4,4,337,0.44,0.00,
28,Nea,12,mix,0,0,712.01,bir,ani,end,mix,top,ele,gri,0,4,4,337,0.31,0.00,
28,Nea,12,mix,0,0,712.01,bir,ani,end,mix,cli,cli,gri,0,4,4,337,0.44,0.00,
28,Nea,12,mix,0,0,712.01,her,ani,ect,mix,cli,cli,gri,0,4,4,337,0.46,0.00,
28,Nea,12,mix,0,0,712.01,her,ani,ect,mix,cli,cli,gri,0,4,4,337,0.59,0.00,
29,Nea,12,for,0,0,912.38,bir,ani,end,mix,lan,lcd,pol,0,3,3,30,0.80,0.04,
30,Nea,12,mix,0,0,562.63,mam,ani,end,her,lan,lcp,pol,0,4,4,12,1.42,0.11,
30,Pal,12,mix,0,0,540.03,mam,ani,end,her,lan,lcp,pol,0,4,4,9,0.58,0.17,
30,Nea,12,mix,0,0,562.63,mam,ani,end,her,lan,lcd,pol,0,4,4,12,0.37,0.11,
30,Pal,12,mix,0,0,540.03,mam,ani,end,her,lan,lcd,pol,0,4,4,9,0.81,0.17,
30,Nea,12,mix,0,0,562.63,mam,ani,end,her,veg,pla,pol,0,4,4,12,0.76,0.11,
30,Pal,12,mix,0,0,540.03,mam,ani,end,her,veg,pla,pol,0,4,4,9,0.60,0.17,
30,Nea,12,mix,0,0,562.63,mam,ani,end,her,veg,pla,pol,0,4,4,12,0.54,0.11,
30,Pal,12,mix,0,0,540.03,mam,ani,end,her,veg,pla,pol,0,4,4,9,0.44,0.17,
31,Ind,10,for,1,1,1263.64,bir,ani,end,mix,lan,lcd,isl,0,3,3,45,1.25,0.02,
31,Ind,10,for,1,1,1263.64,bir,ani,end,mix,lan,lcd,isl,0,3,3,37,0.77,0.03,
31,Ind,10,for,1,1,1263.64,bir,ani,end,mix,lan,lcd,isl,0,3,3,7,2.18,0.25,
32,Pal,3,mix,1,0,1132.54,inv,ani,ect,her,top,ele,isl,0,4,3,31,0.47,0.04,
33,Nea,11,gra,1,0,395.53,pla,mix,pla,aut,lan,lcd,isl,0,2,,34,2.18,0.03,
33,Nea,11,gra,1,0,395.53,pla,mix,pla,aut,top,ele,isl,0,2,,34,1.60,0.03,
34,Ind,10,for,1,1,1263.64,inv,ani,ect,her,lan,lcd,isl,0,4,3,23,0.48,0.05,
35,mix,12,mix,0,0,790.12,bir,ani,end,mix,top,ele,gri,1,4,4,3433,0.29,0.00,
35,mix,12,mix,0,0,790.12,bir,ani,end,mix,top,ele,gri,1,4,4,3088,0.31,0.00,
35,mix,12,mix,1,0,790.12,bir,ani,end,mix,top,ele,gri,1,4,4,345,0.05,0.00,
36,Neo,10,for,0,1,1623.00,bir,ani,end,ins,cli,cli,pol,1,4,3,100,0.50,0.01,
36,Neo,10,for,0,1,1623.00,bir,ani,end,ins,cli,cli,pol,1,4,3,100,0.05,0.01,
36,Neo,10,for,0,1,1623.00,bir,ani,end,ins,top,ele,pol,1,4,3,100,0.04,0.01,
36,Neo,10,for,0,1,1623.00,bir,ani,end,ins,top,ele,pol,1,4,3,100,0.53,0.01,
36,Neo,10,for,0,1,1623.00,bir,ani,end,ins,soi,sod,pol,1,4,3,100,0.39,0.01,
37,Pal,12,agr,0,0,829.54,bir,ani,end,mix,lan,lcd,plo,1,1,2,60,0.89,0.02,
37,Pal,12,agr,0,0,829.54,bir,ani,end,mix,lan,lcp,plo,1,1,2,60,0.31,0.02,
37,Pal,12,agr,0,0,829.54,bir,ani,end,mix,lan,lcd,plo,1,1,2,60,0.14,0.02,
37,Pal,12,agr,0,0,829.54,bir,ani,end,mix,lan,lcp,plo,1,1,2,60,0.47,0.02,
38,Pal,6,for,0,0,680.47,pla,mix,pla,aut,veg,pla,plo,1,1,1,93,-0.03,0.01,
39,Pal,3,for,1,0,1030.72,inv,ani,ect,mix,top,ele,isl,0,4,3,32,0.68,0.03,
39,Pal,3,for,1,0,1030.72,inv,ani,ect,mix,lan,lcd,isl,0,4,3,29,0.40,0.04,
40,Pal,12,mix,0,0,1050.06,pla,her,pla,aut,top,ele,gri,1,4,3,240,0.81,0.00,
40,Pal,12,mix,0,0,1050.06,pla,her,pla,aut,cli,cli,gri,1,4,3,240,0.71,0.00,
40,Pal,12,mix,0,0,1050.06,pla,her,pla,aut,cli,cli,gri,1,4,3,240,0.50,0.00,
41,Pal,5,agr,1,0,616.09,pla,mix,pla,aut,lan,lcd,plo,1,2,3,309,0.64,0.00,
41,Pal,5,agr,1,0,616.09,bir,ani,end,mix,lan,lcd,plo,1,2,3,176,0.18,0.01,
41,Pal,5,agr,1,0,616.09,pla,mix,pla,aut,lan,lcd,plo,1,2,3,309,0.43,0.00,
41,Pal,5,agr,1,0,616.09,bir,ani,end,mix,lan,lcd,plo,1,2,3,176,0.34,0.01,
42,Pal,5,agr,0,0,727.82,mam,ani,end,mix,lan,lcp,pol,1,2,1,11,-0.34,0.12,
42,Pal,5,agr,0,0,727.82,mam,ani,end,mix,lan,lcp,pol,1,2,1,11,0.11,0.12,
42,Pal,5,agr,0,0,727.82,mam,ani,end,mix,lan,lcp,pol,1,2,1,22,-0.05,0.05,
43,Pal,12,mix,0,0,717.38,mam,ani,end,mix,top,ele,gri,1,4,4,1570,0.00,0.00,
43,Pal,12,mix,0,0,717.38,mam,ani,end,mix,lan,lcd,gri,1,4,4,1570,0.19,0.00,
44,Aus,5,for,0,0,1196.38,mam,ani,end,mix,lan,lcd,plo,0,2,1,11,1.82,0.12,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,lan,lcd,gri,1,4,3,12,1.09,0.11,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,lan,lcd,gri,1,4,3,12,1.16,0.11,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,lan,lcd,gri,1,4,3,12,0.45,0.11,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,soi,sod,gri,1,4,3,12,0.61,0.11,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,top,ele,gri,1,4,3,12,0.49,0.11,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,top,ele,gri,1,4,3,12,0.38,0.11,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,lan,lcd,gri,1,4,3,12,0.97,0.11,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,lan,lcd,gri,1,4,3,12,0.45,0.11,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,cli,cli,gri,1,4,3,12,0.51,0.11,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,cli,cli,gri,1,4,3,12,0.39,0.11,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,cli,cli,gri,1,4,3,12,0.35,0.11,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,cli,cli,gri,1,4,3,12,0.31,0.11,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,cli,cli,gri,1,4,3,12,0.39,0.11,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,cli,cli,gri,1,4,3,12,0.31,0.11,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,lan,lcp,gri,1,4,3,12,0.91,0.11,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,lan,lcp,gri,1,4,3,12,-0.34,0.11,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,lan,lcd,gri,1,4,3,24,0.64,0.05,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,lan,lcd,gri,1,4,3,24,0.64,0.05,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,lan,lcd,gri,1,4,3,24,0.36,0.05,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,soi,sod,gri,1,4,3,24,0.64,0.05,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,top,ele,gri,1,4,3,24,0.27,0.05,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,top,ele,gri,1,4,3,24,0.19,0.05,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,lan,lcd,gri,1,4,3,24,0.72,0.05,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,lan,lcd,gri,1,4,3,24,0.66,0.05,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,cli,cli,gri,1,4,3,24,0.26,0.05,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,cli,cli,gri,1,4,3,24,0.14,0.05,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,cli,cli,gri,1,4,3,24,0.30,0.05,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,cli,cli,gri,1,4,3,24,0.20,0.05,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,cli,cli,gri,1,4,3,24,0.27,0.05,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,cli,cli,gri,1,4,3,24,0.08,0.05,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,lan,lcp,gri,1,4,3,24,0.46,0.05,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,lan,lcp,gri,1,4,3,24,-0.17,0.05,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,lan,lcd,gri,1,4,3,63,0.60,0.02,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,lan,lcd,gri,1,4,3,63,0.51,0.02,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,lan,lcd,gri,1,4,3,63,0.60,0.02,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,soi,sod,gri,1,4,3,63,0.44,0.02,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,top,ele,gri,1,4,3,63,0.31,0.02,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,top,ele,gri,1,4,3,63,0.34,0.02,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,lan,lcd,gri,1,4,3,63,0.59,0.02,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,lan,lcd,gri,1,4,3,63,0.43,0.02,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,cli,cli,gri,1,4,3,63,0.32,0.02,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,cli,cli,gri,1,4,3,63,0.25,0.02,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,cli,cli,gri,1,4,3,63,0.26,0.02,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,cli,cli,gri,1,4,3,63,0.32,0.02,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,cli,cli,gri,1,4,3,63,0.23,0.02,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,cli,cli,gri,1,4,3,63,0.06,0.02,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,lan,lcp,gri,1,4,3,63,0.48,0.02,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,lan,lcp,gri,1,4,3,63,-0.04,0.02,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,lan,lcd,gri,1,4,3,252,0.49,0.00,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,lan,lcd,gri,1,4,3,252,0.51,0.00,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,lan,lcd,gri,1,4,3,252,0.54,0.00,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,soi,sod,gri,1,4,3,252,0.35,0.00,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,top,ele,gri,1,4,3,252,0.20,0.00,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,top,ele,gri,1,4,3,252,0.26,0.00,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,lan,lcd,gri,1,4,3,252,0.45,0.00,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,lan,lcd,gri,1,4,3,252,0.36,0.00,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,cli,cli,gri,1,4,3,252,0.20,0.00,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,cli,cli,gri,1,4,3,252,0.15,0.00,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,cli,cli,gri,1,4,3,252,0.27,0.00,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,cli,cli,gri,1,4,3,252,0.32,0.00,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,cli,cli,gri,1,4,3,252,0.16,0.00,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,cli,cli,gri,1,4,3,252,0.06,0.00,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,lan,lcp,gri,1,4,3,252,0.40,0.00,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,lan,lcp,gri,1,4,3,252,-0.23,0.00,
