ref,realm,biome,habitat,island,tropical,PET,taxon,growth,thermo,trophic,EH,EHcat,unit,EA,grain,extent,n,ES,var,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,lan,lcd,gri,1,3,3,2420,0.32,0.00,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,lan,lcd,gri,1,3,3,2420,0.37,0.00,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,lan,lcd,gri,1,3,3,2420,0.40,0.00,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,soi,sod,gri,1,3,3,2420,0.28,0.00,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,top,ele,gri,1,3,3,2420,-0.01,0.00,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,top,ele,gri,1,3,3,2420,0.09,0.00,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,lan,lcd,gri,1,3,3,2420,0.33,0.00,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,lan,lcd,gri,1,3,3,2420,0.25,0.00,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,cli,cli,gri,1,3,3,2420,-0.01,0.00,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,cli,cli,gri,1,3,3,2420,-0.05,0.00,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,cli,cli,gri,1,3,3,2420,0.12,0.00,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,cli,cli,gri,1,3,3,2420,0.16,0.00,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,cli,cli,gri,1,3,3,2420,-0.02,0.00,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,cli,cli,gri,1,3,3,2420,-0.05,0.00,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,lan,lcp,gri,1,3,3,2420,0.21,0.00,
45,Nea,12,for,0,0,970.10,mix,ani,mix,mix,lan,lcp,gri,1,3,3,2420,-0.18,0.00,
46,Pal,5,agr,0,0,725.42,pla,her,pla,aut,lan,lcp,pol,1,2,2,18,0.54,0.07,
46,Pal,5,agr,0,0,725.42,pla,her,pla,aut,lan,lcd,pol,1,2,2,18,0.46,0.07,
46,Pal,5,agr,0,0,725.42,pla,her,pla,aut,lan,pat,pol,1,2,2,18,0.97,0.07,
46,Pal,5,agr,0,0,725.42,pla,her,pla,aut,top,pro,pol,1,2,2,18,0.50,0.07,
46,Pal,5,agr,0,0,725.42,pla,her,pla,aut,lan,lcp,pol,1,3,2,18,0.62,0.07,
46,Pal,5,agr,0,0,725.42,pla,her,pla,aut,lan,lcd,pol,1,3,2,18,0.62,0.07,
46,Pal,5,agr,0,0,725.42,pla,her,pla,aut,lan,pat,pol,1,3,2,18,1.07,0.07,
46,Pal,5,agr,0,0,725.42,pla,her,pla,aut,top,pro,pol,1,3,2,18,0.47,0.07,
46,Pal,5,agr,0,0,725.42,pla,her,pla,aut,lan,lcp,pol,1,3,2,18,0.56,0.07,
46,Pal,5,agr,0,0,725.42,pla,her,pla,aut,lan,lcd,pol,1,3,2,18,0.55,0.07,
46,Pal,5,agr,0,0,725.42,pla,her,pla,aut,lan,pat,pol,1,3,2,18,0.95,0.07,
46,Pal,5,agr,0,0,725.42,pla,her,pla,aut,top,pro,pol,1,3,2,18,0.45,0.07,
46,Pal,5,agr,0,0,725.42,pla,her,pla,aut,lan,lcp,pol,1,3,2,18,0.56,0.07,
46,Pal,5,agr,0,0,725.42,pla,her,pla,aut,lan,lcd,pol,1,3,2,18,0.48,0.07,
46,Pal,5,agr,0,0,725.42,pla,her,pla,aut,lan,pat,pol,1,3,2,18,0.83,0.07,
46,Pal,5,agr,0,0,725.42,pla,her,pla,aut,top,pro,pol,1,3,2,18,0.48,0.07,
46,Pal,5,agr,0,0,725.42,pla,her,pla,aut,lan,lcp,pol,1,3,2,18,0.60,0.07,
46,Pal,5,agr,0,0,725.42,pla,her,pla,aut,lan,lcd,pol,1,3,2,18,0.42,0.07,
46,Pal,5,agr,0,0,725.42,pla,her,pla,aut,lan,pat,pol,1,3,2,18,0.76,0.07,
46,Pal,5,agr,0,0,725.42,pla,her,pla,aut,top,pro,pol,1,3,2,18,0.52,0.07,
46,Pal,5,agr,0,0,725.42,pla,mix,pla,aut,lan,lcp,pol,1,2,2,18,0.63,0.07,
46,Pal,5,agr,0,0,725.42,pla,mix,pla,aut,lan,lcd,pol,1,2,2,18,0.39,0.07,
46,Pal,5,agr,0,0,725.42,pla,mix,pla,aut,lan,pat,pol,1,2,2,18,0.68,0.07,
46,Pal,5,agr,0,0,725.42,pla,mix,pla,aut,top,pro,pol,1,2,2,18,0.05,0.07,
46,Pal,5,agr,0,0,725.42,pla,mix,pla,aut,lan,lcp,pol,1,3,2,18,0.47,0.07,
46,Pal,5,agr,0,0,725.42,pla,mix,pla,aut,lan,lcd,pol,1,3,2,18,0.33,0.07,
46,Pal,5,agr,0,0,725.42,pla,mix,pla,aut,lan,pat,pol,1,3,2,18,0.65,0.07,
46,Pal,5,agr,0,0,725.42,pla,mix,pla,aut,top,pro,pol,1,3,2,18,0.09,0.07,
46,Pal,5,agr,0,0,725.42,pla,mix,pla,aut,lan,lcp,pol,1,3,2,18,0.37,0.07,
46,Pal,5,agr,0,0,725.42,pla,mix,pla,aut,lan,lcd,pol,1,3,2,18,0.26,0.07,
46,Pal,5,agr,0,0,725.42,pla,mix,pla,aut,lan,pat,pol,1,3,2,18,0.55,0.07,
46,Pal,5,agr,0,0,725.42,pla,mix,pla,aut,top,pro,pol,1,3,2,18,0.14,0.07,
46,Pal,5,agr,0,0,725.42,pla,mix,pla,aut,lan,lcp,pol,1,3,2,18,0.34,0.07,
46,Pal,5,agr,0,0,725.42,pla,mix,pla,aut,lan,lcd,pol,1,3,2,18,0.27,0.07,
46,Pal,5,agr,0,0,725.42,pla,mix,pla,aut,lan,pat,pol,1,3,2,18,0.48,0.07,
46,Pal,5,agr,0,0,725.42,pla,mix,pla,aut,top,pro,pol,1,3,2,18,0.24,0.07,
46,Pal,5,agr,0,0,725.42,pla,mix,pla,aut,lan,lcp,pol,1,3,2,18,0.38,0.07,
46,Pal,5,agr,0,0,725.42,pla,mix,pla,aut,lan,lcd,pol,1,3,2,18,0.28,0.07,
46,Pal,5,agr,0,0,725.42,pla,mix,pla,aut,lan,pat,pol,1,3,2,18,0.48,0.07,
46,Pal,5,agr,0,0,725.42,pla,mix,pla,aut,top,pro,pol,1,3,2,18,0.35,0.07,
46,Pal,5,agr,0,0,725.42,pla,her,pla,aut,lan,lcp,pol,1,2,2,18,0.39,0.07,
46,Pal,5,agr,0,0,725.42,pla,her,pla,aut,lan,lcd,pol,1,2,2,18,0.40,0.07,
46,Pal,5,agr,0,0,725.42,pla,her,pla,aut,lan,pat,pol,1,2,2,18,0.81,0.07,
46,Pal,5,agr,0,0,725.42,pla,her,pla,aut,top,pro,pol,1,2,2,18,0.60,0.07,
46,Pal,5,agr,0,0,725.42,pla,her,pla,aut,lan,lcp,pol,1,3,2,18,0.55,0.07,
46,Pal,5,agr,0,0,725.42,pla,her,pla,aut,lan,lcd,pol,1,3,2,18,0.62,0.07,
46,Pal,5,agr,0,0,725.42,pla,her,pla,aut,lan,pat,pol,1,3,2,18,0.93,0.07,
46,Pal,5,agr,0,0,725.42,pla,her,pla,aut,top,pro,pol,1,3,2,18,0.56,0.07,
46,Pal,5,agr,0,0,725.42,pla,her,pla,aut,lan,lcp,pol,1,3,2,18,0.52,0.07,
46,Pal,5,agr,0,0,725.42,pla,her,pla,aut,lan,lcd,pol,1,3,2,18,0.56,0.07,
46,Pal,5,agr,0,0,725.42,pla,her,pla,aut,lan,pat,pol,1,3,2,18,0.87,0.07,
46,Pal,5,agr,0,0,725.42,pla,her,pla,aut,top,pro,pol,1,3,2,18,0.50,0.07,
46,Pal,5,agr,0,0,725.42,pla,her,pla,aut,lan,lcp,pol,1,3,2,18,0.52,0.07,
46,Pal,5,agr,0,0,725.42,pla,her,pla,aut,lan,lcd,pol,1,3,2,18,0.47,0.07,
46,Pal,5,agr,0,0,725.42,pla,her,pla,aut,lan,pat,pol,1,3,2,18,0.76,0.07,
46,Pal,5,agr,0,0,725.42,pla,her,pla,aut,top,pro,pol,1,3,2,18,0.48,0.07,
46,Pal,5,agr,0,0,725.42,pla,her,pla,aut,lan,lcp,pol,1,3,2,18,0.56,0.07,
46,Pal,5,agr,0,0,725.42,pla,her,pla,aut,lan,lcd,pol,1,3,2,18,0.40,0.07,
46,Pal,5,agr,0,0,725.42,pla,her,pla,aut,lan,pat,pol,1,3,2,18,0.69,0.07,
46,Pal,5,agr,0,0,725.42,pla,her,pla,aut,top,pro,pol,1,3,2,18,0.48,0.07,
47,Afr,12,for,0,0,1437.80,pla,her,pla,aut,cli,cli,pol,0,4,3,9,-0.54,0.17,
48,Afr,10,for,1,1,1479.11,mam,ani,end,mix,veg,pla,plo,1,1,1,9,0.91,0.17,
48,Afr,8,for,1,1,1598.25,mam,ani,end,mix,veg,pla,plo,1,1,2,9,1.29,0.17,
48,Afr,10,for,1,1,1479.11,mam,ani,end,mix,veg,ved,plo,1,1,1,9,1.02,0.17,
48,Afr,8,for,1,1,1598.25,mam,ani,end,mix,veg,ved,plo,1,1,2,9,0.68,0.17,
49,Aus,5,for,0,0,1382.87,mam,ani,end,mix,veg,pla,plo,1,1,1,51,0.51,0.02,
49,Aus,5,for,0,0,1382.87,mam,ani,end,mix,veg,pla,plo,1,1,1,51,0.24,0.02,
49,Aus,5,for,0,0,1382.87,mam,ani,end,mix,lan,lcp,plo,1,1,1,51,0.34,0.02,
49,Aus,5,for,0,0,1382.87,mam,ani,end,mix,lan,pat,plo,1,1,1,51,-0.13,0.02,
49,Aus,5,for,0,0,1382.87,her,ani,ect,mix,soi,sov,plo,1,1,1,51,0.30,0.02,
49,Aus,5,for,0,0,1382.87,her,ani,ect,mix,soi,sod,plo,1,1,1,51,0.21,0.02,
49,Aus,5,for,0,0,1382.87,her,ani,ect,mix,lan,lcp,plo,1,1,1,51,0.30,0.02,
49,Aus,5,for,0,0,1382.87,her,ani,ect,mix,lan,pat,plo,1,1,1,51,-0.38,0.02,
50,Neo,8,for,0,1,1729.65,bir,ani,end,mix,lan,lcp,plo,1,3,3,7,1.03,0.25,
50,Neo,8,for,0,1,1729.65,bir,ani,end,mix,veg,pla,plo,1,3,3,7,0.84,0.25,
50,Neo,8,for,0,1,1729.65,bir,ani,end,mix,veg,pla,plo,1,3,3,7,0.99,0.25,
50,Neo,8,for,0,1,1729.65,bir,ani,end,mix,veg,pla,plo,1,3,3,7,0.14,0.25,
50,Neo,8,for,0,1,1729.65,bir,ani,end,mix,veg,pla,plo,1,3,3,7,1.05,0.25,
50,Neo,8,for,0,1,1729.65,bir,ani,end,mix,veg,pla,plo,1,3,3,7,0.23,0.25,
50,Neo,8,for,0,1,1729.65,bir,ani,end,mix,veg,pla,plo,1,3,3,7,0.18,0.25,
50,Neo,8,for,0,1,1729.65,bir,ani,end,mix,veg,ved,plo,1,3,3,7,0.02,0.25,
50,Neo,8,for,0,1,1729.65,bir,ani,end,mix,veg,ved,plo,1,3,3,7,0.09,0.25,
50,Neo,8,for,0,1,1729.65,bir,ani,end,mix,veg,ved,plo,1,3,3,7,0.28,0.25,
50,Neo,8,for,0,1,1729.65,bir,ani,end,mix,veg,ved,plo,1,3,3,7,-0.16,0.25,
50,Neo,8,for,0,1,1729.65,bir,ani,end,mix,veg,ved,plo,1,3,3,7,1.39,0.25,
50,Neo,8,for,0,1,1729.65,bir,ani,end,mix,veg,ved,plo,1,3,3,7,1.35,0.25,
50,Neo,8,for,0,1,1729.65,bir,ani,end,mix,veg,ved,plo,1,3,3,7,0.67,0.25,
50,Neo,8,for,0,1,1729.65,bir,ani,end,mix,veg,ved,plo,1,3,3,7,0.73,0.25,
50,Neo,8,for,0,1,1729.65,bir,ani,end,mix,lan,lcp,plo,1,3,3,7,1.06,0.25,
50,Neo,8,for,0,1,1729.65,bir,ani,end,mix,veg,pla,plo,1,3,3,7,0.90,0.25,
50,Neo,8,for,0,1,1729.65,bir,ani,end,mix,veg,pla,plo,1,3,3,7,1.06,0.25,
50,Neo,8,for,0,1,1729.65,bir,ani,end,mix,veg,pla,plo,1,3,3,7,0.18,0.25,
50,Neo,8,for,0,1,1729.65,bir,ani,end,mix,veg,pla,plo,1,3,3,7,1.03,0.25,
50,Neo,8,for,0,1,1729.65,bir,ani,end,mix,veg,pla,plo,1,3,3,7,0.19,0.25,
50,Neo,8,for,0,1,1729.65,bir,ani,end,mix,veg,pla,plo,1,3,3,7,0.22,0.25,
50,Neo,8,for,0,1,1729.65,bir,ani,end,mix,veg,ved,plo,1,3,3,7,0.37,0.25,
50,Neo,8,for,0,1,1729.65,bir,ani,end,mix,veg,ved,plo,1,3,3,7,0.11,0.25,
50,Neo,8,for,0,1,1729.65,bir,ani,end,mix,veg,ved,plo,1,3,3,7,0.30,0.25,
50,Neo,8,for,0,1,1729.65,bir,ani,end,mix,veg,ved,plo,1,3,3,7,-0.14,0.25,
50,Neo,8,for,0,1,1729.65,bir,ani,end,mix,veg,ved,plo,1,3,3,7,1.28,0.25,
50,Neo,8,for,0,1,1729.65,bir,ani,end,mix,veg,ved,plo,1,3,3,7,1.48,0.25,
50,Neo,8,for,0,1,1729.65,bir,ani,end,mix,veg,ved,plo,1,3,3,7,0.53,0.25,
50,Neo,8,for,0,1,1729.65,bir,ani,end,mix,veg,ved,plo,1,3,3,7,0.78,0.25,
50,Neo,8,for,0,1,1729.65,bir,ani,end,fru,lan,lcp,plo,1,3,3,7,1.18,0.25,
50,Neo,8,for,0,1,1729.65,bir,ani,end,fru,veg,pla,plo,1,3,3,7,0.63,0.25,
50,Neo,8,for,0,1,1729.65,bir,ani,end,fru,veg,pla,plo,1,3,3,7,0.58,0.25,
50,Neo,8,for,0,1,1729.65,bir,ani,end,fru,veg,pla,plo,1,3,3,7,0.26,0.25,
50,Neo,8,for,0,1,1729.65,bir,ani,end,fru,veg,pla,plo,1,3,3,7,2.15,0.25,
50,Neo,8,for,0,1,1729.65,bir,ani,end,fru,veg,pla,plo,1,3,3,7,0.65,0.25,
50,Neo,8,for,0,1,1729.65,bir,ani,end,fru,veg,pla,plo,1,3,3,7,-0.09,0.25,
50,Neo,8,for,0,1,1729.65,bir,ani,end,fru,veg,ved,plo,1,3,3,7,-0.53,0.25,
50,Neo,8,for,0,1,1729.65,bir,ani,end,fru,veg,ved,plo,1,3,3,7,0.61,0.25,
50,Neo,8,for,0,1,1729.65,bir,ani,end,fru,veg,ved,plo,1,3,3,7,0.07,0.25,
50,Neo,8,for,0,1,1729.65,bir,ani,end,fru,veg,ved,plo,1,3,3,7,-0.07,0.25,
50,Neo,8,for,0,1,1729.65,bir,ani,end,fru,veg,ved,plo,1,3,3,7,1.03,0.25,
50,Neo,8,for,0,1,1729.65,bir,ani,end,fru,veg,ved,plo,1,3,3,7,1.01,0.25,
50,Neo,8,for,0,1,1729.65,bir,ani,end,fru,veg,ved,plo,1,3,3,7,0.50,0.25,
50,Neo,8,for,0,1,1729.65,bir,ani,end,fru,veg,ved,plo,1,3,3,7,0.75,0.25,
50,Neo,8,for,0,1,1729.65,bir,ani,end,mix,lan,lcp,plo,1,3,3,7,0.97,0.25,
50,Neo,8,for,0,1,1729.65,bir,ani,end,mix,veg,pla,plo,1,3,3,7,0.18,0.25,
50,Neo,8,for,0,1,1729.65,bir,ani,end,mix,veg,pla,plo,1,3,3,7,0.22,0.25,
50,Neo,8,for,0,1,1729.65,bir,ani,end,mix,veg,pla,plo,1,3,3,7,-0.38,0.25,
50,Neo,8,for,0,1,1729.65,bir,ani,end,mix,veg,pla,plo,1,3,3,7,1.03,0.25,
50,Neo,8,for,0,1,1729.65,bir,ani,end,mix,veg,pla,plo,1,3,3,7,0.41,0.25,
50,Neo,8,for,0,1,1729.65,bir,ani,end,mix,veg,pla,plo,1,3,3,7,-0.37,0.25,
50,Neo,8,for,0,1,1729.65,bir,ani,end,mix,veg,ved,plo,1,3,3,7,-0.29,0.25,
50,Neo,8,for,0,1,1729.65,bir,ani,end,mix,veg,ved,plo,1,3,3,7,-0.46,0.25,
50,Neo,8,for,0,1,1729.65,bir,ani,end,mix,veg,ved,plo,1,3,3,7,0.20,0.25,
50,Neo,8,for,0,1,1729.65,bir,ani,end,mix,veg,ved,plo,1,3,3,7,0.20,0.25,
50,Neo,8,for,0,1,1729.65,bir,ani,end,mix,veg,ved,plo,1,3,3,7,0.83,0.25,
50,Neo,8,for,0,1,1729.65,bir,ani,end,mix,veg,ved,plo,1,3,3,7,0.63,0.25,
50,Neo,8,for,0,1,1729.65,bir,ani,end,mix,veg,ved,plo,1,3,3,7,1.13,0.25,
50,Neo,8,for,0,1,1729.65,bir,ani,end,mix,veg,ved,plo,1,3,3,7,0.32,0.25,
51,Neo,9,gra,0,1,1747.69,inv,ani,ect,her,veg,pla,tra,0,1,1,12,0.68,0.11,
51,Neo,9,gra,0,1,1747.69,inv,ani,ect,her,veg,pla,tra,0,1,1,12,1.23,0.11,
51,Neo,9,gra,0,1,1747.69,inv,ani,ect,her,veg,pla,tra,0,1,1,12,0.79,0.11,
51,Neo,9,gra,0,1,1747.69,inv,ani,ect,her,veg,pla,tra,0,1,1,12,0.79,0.11,
52,Pal,3,mon,0,0,1087.58,inv,ani,ect,mix,veg,pla,plo,1,1,2,60,0.38,0.02,
52,Pal,3,mon,0,0,1087.58,inv,ani,ect,mix,veg,pla,plo,1,1,2,6,1.00,0.33,
52,Pal,3,mon,0,0,1087.58,inv,ani,ect,mix,veg,pla,plo,1,1,2,12,0.44,0.11,
52,Pal,3,mon,0,0,1087.58,inv,ani,ect,mix,veg,ved,plo,1,1,2,6,0.10,0.33,
52,Pal,3,mon,0,0,1087.58,inv,ani,ect,mix,veg,ved,plo,1,1,2,12,0.00,0.11,
52,Pal,3,mon,0,0,1087.58,inv,ani,ect,mix,veg,ved,plo,1,1,2,60,0.39,0.02,
53,Pal,3,for,1,0,921.56,inv,ani,ect,her,veg,pla,plo,1,1,2,16,0.85,0.08,
53,Pal,3,for,1,0,921.56,inv,ani,ect,car,veg,pla,plo,1,1,2,16,-0.21,0.08,
54,Pal,12,mix,0,0,732.66,bir,ani,end,mix,lan,lcd,gri,1,4,3,328,0.33,0.00,
55,Pal,5,mix,1,0,523.72,bir,ani,end,mix,lan,lcd,isl,0,2,1,44,1.58,0.02,
55,Pal,5,mix,1,0,523.72,bir,ani,end,mix,lan,lcd,isl,0,2,1,44,1.09,0.02,
56,Afr,12,mix,1,1,1372.95,bir,ani,end,mix,top,ele,isl,0,4,3,5,1.37,0.50,
57,mix,12,mix,1,1,1533.90,bir,ani,end,mix,top,ele,isl,0,4,4,22,1.16,0.05,
57,Oce,12,mix,1,1,1497.67,bir,ani,end,mix,top,ele,isl,0,4,4,25,0.85,0.05,
57,Neo,12,mix,1,1,1556.33,bir,ani,end,mix,top,ele,isl,0,4,4,12,0.54,0.11,
58,Pal,5,mix,1,0,550.28,pla,mix,pla,aut,lan,lcd,isl,0,2,1,82,1.06,0.01,
58,Pal,5,mix,1,0,559.30,pla,mix,pla,aut,lan,lcd,isl,0,2,1,78,1.50,0.01,
59,Nea,6,for,0,0,993.07,pla,mix,pla,aut,mix,mix,plo,1,1,2,20,0.51,0.06,
59,Nea,6,for,0,0,1115.38,pla,mix,pla,aut,mix,mix,plo,1,1,2,10,1.57,0.14,
60,Neo,2,mix,1,1,1304.57,bir,ani,end,mix,veg,pla,isl,0,4,3,15,1.60,0.08,
60,Neo,2,mix,1,1,1304.57,bir,ani,end,mix,veg,pla,isl,0,4,3,15,1.21,0.08,
60,Neo,2,mix,1,1,1304.57,bir,ani,end,mix,veg,pla,isl,0,4,3,15,1.27,0.08,
60,Neo,2,mix,1,1,1304.57,bir,ani,end,mix,top,ele,isl,0,4,3,15,1.24,0.08,
61,Nea,12,mix,0,0,1325.23,inv,ani,ect,her,veg,pla,pol,0,4,3,93,0.45,0.01,
61,Nea,12,mix,0,0,1325.23,inv,ani,ect,her,veg,pla,pol,0,4,3,93,0.66,0.01,
61,Nea,12,mix,0,0,1325.23,inv,ani,ect,her,veg,pla,pol,0,4,3,93,0.69,0.01,
62,Aus,12,mix,1,1,1516.45,pla,mix,pla,aut,top,ele,isl,0,2,3,82,0.83,0.01,
63,Neo,12,mix,1,1,1389.92,her,ani,ect,car,lan,lcd,isl,0,4,3,33,0.93,0.03,
64,Neo,10,for,0,1,1359.00,pla,her,pla,aut,veg,ved,plo,1,1,1,6,0.11,0.33,
65,Pal,5,agr,0,0,697.18,pla,mix,pla,aut,top,pro,pol,1,2,2,12,1.50,0.11,
65,Pal,5,agr,0,0,697.18,pla,mix,pla,aut,top,ele,pol,1,2,2,12,1.08,0.11,
66,Neo,10,for,0,1,1251.73,pla,shr,pla,aut,soi,sov,plo,1,1,1,15,0.97,0.08,
66,Neo,10,for,0,1,1251.73,pla,shr,pla,aut,soi,sov,plo,1,1,1,15,0.59,0.08,
66,Neo,10,for,0,1,1251.73,pla,shr,pla,aut,soi,sov,plo,1,1,1,15,0.42,0.08,
66,Neo,10,for,0,1,1251.73,pla,shr,pla,aut,soi,sov,plo,1,1,1,15,0.79,0.08,
67,Pal,5,mix,0,0,684.66,pla,mix,pla,aut,lan,lcd,gri,1,3,2,89,0.78,0.01,
68,Neo,12,mix,0,1,1610.14,mam,ani,end,omn,lan,lcd,plo,1,1,1,10,0.59,0.14,
69,Pal,5,agr,1,0,616.09,inv,ani,ect,mix,veg,vec,plo,1,1,3,6,0.93,0.33,
69,Pal,5,agr,1,0,616.09,inv,ani,ect,mix,veg,vec,plo,1,1,3,6,0.28,0.33,
69,Pal,5,agr,1,0,616.09,inv,ani,ect,mix,veg,vec,plo,1,1,3,6,-0.05,0.33,
69,Pal,5,agr,1,0,616.09,inv,ani,ect,mix,veg,vec,plo,1,1,3,6,0.33,0.33,
69,Pal,5,agr,1,0,616.09,inv,ani,ect,mix,veg,pla,plo,1,1,3,6,0.16,0.33,
69,Pal,5,agr,1,0,616.09,inv,ani,ect,mix,veg,pla,plo,1,1,3,6,0.62,0.33,
69,Pal,5,agr,1,0,616.09,inv,ani,ect,mix,veg,pla,plo,1,1,3,6,-0.81,0.33,
69,Pal,5,agr,1,0,616.09,inv,ani,ect,car,veg,vec,plo,1,1,3,6,-0.46,0.33,
69,Pal,5,agr,1,0,616.09,inv,ani,ect,car,veg,vec,plo,1,1,3,6,0.13,0.33,
69,Pal,5,agr,1,0,616.09,inv,ani,ect,car,veg,vec,plo,1,1,3,6,0.09,0.33,
69,Pal,5,agr,1,0,616.09,inv,ani,ect,car,veg,vec,plo,1,1,3,6,0.00,0.33,
69,Pal,5,agr,1,0,616.09,inv,ani,ect,car,veg,pla,plo,1,1,3,6,-0.31,0.33,
69,Pal,5,agr,1,0,616.09,inv,ani,ect,car,veg,pla,plo,1,1,3,6,-0.09,0.33,
69,Pal,5,agr,1,0,616.09,inv,ani,ect,car,veg,pla,plo,1,1,3,6,0.40,0.33,
69,Pal,5,agr,1,0,616.09,inv,ani,ect,mix,veg,vec,plo,1,1,3,6,0.17,0.33,
69,Pal,5,agr,1,0,616.09,inv,ani,ect,mix,veg,vec,plo,1,1,3,6,0.55,0.33,
69,Pal,5,agr,1,0,616.09,inv,ani,ect,mix,veg,vec,plo,1,1,3,6,-0.50,0.33,
69,Pal,5,agr,1,0,616.09,inv,ani,ect,mix,veg,vec,plo,1,1,3,6,-0.51,0.33,
69,Pal,5,agr,1,0,616.09,inv,ani,ect,mix,veg,pla,plo,1,1,3,6,0.79,0.33,
69,Pal,5,agr,1,0,616.09,inv,ani,ect,mix,veg,pla,plo,1,1,3,6,0.30,0.33,
69,Pal,5,agr,1,0,616.09,inv,ani,ect,mix,veg,pla,plo,1,1,3,6,-0.29,0.33,
69,Pal,5,agr,1,0,616.09,inv,ani,ect,car,veg,vec,plo,1,1,3,6,0.23,0.33,
69,Pal,5,agr,1,0,616.09,inv,ani,ect,car,veg,vec,plo,1,1,3,6,-0.04,0.33,
69,Pal,5,agr,1,0,616.09,inv,ani,ect,car,veg,vec,plo,1,1,3,6,-0.46,0.33,
69,Pal,5,agr,1,0,616.09,inv,ani,ect,car,veg,vec,plo,1,1,3,6,-0.08,0.33,
69,Pal,5,agr,1,0,616.09,inv,ani,ect,car,veg,pla,plo,1,1,3,6,0.18,0.33,
69,Pal,5,agr,1,0,616.09,inv,ani,ect,car,veg,pla,plo,1,1,3,6,-0.04,0.33,
69,Pal,5,agr,1,0,616.09,inv,ani,ect,car,veg,pla,plo,1,1,3,6,0.20,0.33,
70,Pal,5,for,1,0,1035.20,pla,shr,pla,aut,top,ele,pol,0,3,2,5,0.31,0.50,
70,Pal,5,for,1,0,1035.20,pla,shr,pla,aut,top,ele,pol,0,3,2,5,0.33,0.50,
70,Pal,5,for,1,0,1035.20,pla,her,pla,aut,top,ele,pol,0,3,2,5,0.63,0.50,
70,Pal,5,for,1,0,1035.20,pla,her,pla,aut,top,ele,pol,0,3,2,5,0.73,0.50,
71,Pal,4,mix,0,0,1020.49,pla,mix,pla,aut,lan,lcd,plo,1,2,1,22,0.87,0.05,
72,Pal,3,mix,0,0,1073.69,inv,ani,ect,car,veg,vec,plo,1,2,2,15,0.61,0.08,
72,Pal,3,mix,0,0,1073.69,inv,ani,ect,car,veg,vec,plo,1,2,2,15,0.62,0.08,
72,Pal,3,mix,0,0,1073.69,inv,ani,ect,car,veg,vec,plo,1,2,2,15,0.69,0.08,
73,Pal,12,mix,1,0,601.03,pla,mix,pla,aut,top,ele,isl,0,4,3,42,0.73,0.03,
73,Pal,12,mix,1,0,601.03,pla,mix,pla,aut,soi,sod,isl,0,4,3,42,1.03,0.03,
74,Nea,12,for,0,0,1141.83,bir,ani,end,mix,top,ele,plo,0,4,4,31,0.49,0.04,
74,Nea,12,for,0,0,1141.83,bir,ani,end,mix,veg,pla,plo,0,4,4,31,1.90,0.04,
75,Nea,5,mix,0,0,998.33,mam,ani,end,mix,top,ele,gri,1,4,3,211,0.55,0.00,
76,Pal,5,mix,1,0,544.95,pla,her,pla,aut,lan,lcd,isl,0,2,2,32,1.42,0.03,
77,Pal,3,mix,1,0,1054.96,pla,mix,pla,aut,top,ele,isl,0,3,3,201,0.98,0.01,
