grid_size,grid_id,habitat,partition,Shape_Length,Shape_Area
75,1,Freshwater Swamp,FS1,0.031249999,6.10352E-05
75,2,Freshwater Swamp,FS1,0.029289222,2.71987E-05
75,2,Heath,Heath,0.009725746,6.71157E-06
75,2,Lowland Sandstone,LS2,0.017030201,8.6265E-06
75,2,Alluvial Bench,AB2,0.027233871,1.84625E-05
75,3,Freshwater Swamp,FS1,0.003166999,3.88111E-07
75,3,Lowland Granite,LG2,0.023952225,2.90339E-05
75,3,Lowland Sandstone,LS2,0.024843071,3.16131E-05
75,4,Upland Granite,UG2,0.024832962,3.35932E-05
75,4,Lowland Granite,LG2,0.023947101,2.7442E-05
75,5,Upland Granite,UG2,0.031249999,6.10352E-05
75,6,Upland Granite,UG2,0.024874561,2.98922E-05
75,6,Montane,MO2,0.025473949,3.11019E-05
75,7,Freshwater Swamp,FS1,0.031833208,6.07126E-05
75,7,Peat Swamp,PS1,0.00232898,3.2255E-07
75,8,Freshwater Swamp,FS1,0.023860401,9.8942E-06
75,8,Peat Swamp,PS1,0.00022735,2.07158E-09
75,8,Lowland Sandstone,LS2,0.005818043,1.53949E-06
75,8,Alluvial Bench,AB2,0.026624817,4.47729E-05
75,8,Lowland Sandstone,LS1,0.00933876,4.82654E-06
75,9,Freshwater Swamp,FS1,0.008058694,3.91938E-06
75,9,Lowland Granite,LG2,0.016475292,1.41744E-05
75,9,Lowland Sandstone,LS2,0.022633409,2.38283E-05
75,9,Lowland Granite,LG1,0.011837777,7.02185E-06
75,9,Alluvial Bench,AB2,0.005298571,1.18005E-06
75,9,Lowland Sandstone,LS1,0.014864281,1.09111E-05
75,10,Upland Granite,UG2,0.009738297,3.54111E-06
75,10,Lowland Granite,LG2,0.025905203,3.52443E-05
75,10,Upland Granite,UG1,0.004295095,7.30086E-07
75,10,Lowland Granite,LG1,0.021442615,2.15197E-05
75,11,Upland Granite,UG2,0.027765,4.52334E-05
75,11,Lowland Granite,LG2,0.006115501,1.32978E-06
75,11,Upland Granite,UG1,0.019028976,1.43248E-05
75,11,Lowland Granite,LG1,0.002076492,1.47202E-07
75,12,Montane,MO1,0.009443834,2.62353E-06
75,12,Upland Granite,UG2,0.021515004,2.42276E-05
75,12,Montane,MO2,0.022119744,2.94447E-05
75,12,Upland Granite,UG1,0.010232754,4.73928E-06
75,13,Freshwater Swamp,FS1,0.021961053,2.88676E-05
75,13,Peat Swamp,PS1,0.031190182,3.21676E-05
75,14,Freshwater Swamp,FS1,0.037573423,4.24983E-05
75,14,Peat Swamp,PS1,0.016985268,5.14948E-06
75,14,Alluvial Bench,AB2,0.014960774,9.8947E-06
75,14,Alluvial Bench,AB1,0.000518644,8.16931E-09
75,14,Lowland Sandstone,LS1,0.013578454,3.44974E-06
75,15,Freshwater Swamp,FS1,0.0099453,1.44798E-06
75,15,Lowland Granite,LG1,0.019672264,1.26543E-05
75,15,Alluvial Bench,AB1,0.007269665,3.07024E-06
75,15,Lowland Sandstone,LS1,0.02899594,4.38626E-05
75,16,Upland Granite,UG1,0.019342278,1.51784E-05
75,16,Lowland Granite,LG1,0.028620008,4.58568E-05
75,17,Montane,MO1,0.008404711,3.26225E-06
75,17,Upland Granite,UG1,0.030010457,5.76146E-05
75,18,Montane,MO1,0.029031631,4.83795E-05
75,18,Upland Granite,UG1,0.01631237,1.25318E-05
75,19,Peat Swamp,PS1,0.03125,6.10352E-05
75,20,Freshwater Swamp,FS1,0.027629452,4.00239E-05
75,20,Peat Swamp,PS1,0.018135424,7.87041E-06
75,20,Alluvial Bench,AB1,0.019045245,1.31086E-05
75,21,Lowland Granite,LG1,0.018180176,9.07246E-06
75,21,Alluvial Bench,AB1,0.022592609,2.09935E-05
75,21,Lowland Sandstone,LS1,0.024463158,3.09692E-05
75,22,Upland Granite,UG1,0.019975798,1.83356E-05
75,22,Lowland Granite,LG1,0.027482407,4.26995E-05
75,23,Montane,MO1,0.007263277,2.15991E-06
75,23,Upland Granite,UG1,0.030078228,5.88309E-05
75,24,Montane,MO1,0.031826229,5.89186E-05
75,24,Upland Granite,UG1,0.012338342,2.05553E-06
170,1,Freshwater Swamp,FS1,0.046515193,0.000120917
170,1,Heath,Heath,0.007292708,2.58364E-06
170,1,Alluvial Bench,AB2,0.020452335,1.38123E-05
170,2,Freshwater Swamp,FS1,0.015556919,6.85747E-06
170,2,Heath,Heath,0.008280489,4.12792E-06
170,2,Lowland Granite,LG2,0.032528872,3.88999E-05
170,2,Lowland Sandstone,LS2,0.037586099,5.58024E-05
170,2,Alluvial Bench,AB2,0.032387421,3.16216E-05
170,3,Upland Granite,UG2,0.038636161,8.26028E-05
170,3,Lowland Granite,LG2,0.036656294,5.47263E-05
170,4,Upland Granite,UG2,0.039828984,9.08834E-05
170,4,Montane,MO2,0.034182201,4.64047E-05
170,5,Freshwater Swamp,FS1,0.052671076,8.6896E-05
170,5,Peat Swamp,PS1,0.033306386,3.76417E-05
170,5,Alluvial Bench,AB2,0.018155002,1.27566E-05
170,6,Freshwater Swamp,FS1,0.027811587,2.12913E-05
170,6,Lowland Granite,LG2,0.009079474,4.30846E-06
170,6,Lowland Sandstone,LS2,0.016528768,9.8051E-06
170,6,Lowland Granite,LG1,0.026973116,1.96762E-05
170,6,Alluvial Bench,AB2,0.023710543,1.61197E-05
170,6,Alluvial Bench,AB1,0.007349761,3.0784E-06
170,6,Lowland Sandstone,LS1,0.038397622,6.305E-05
170,7,Upland Granite,UG2,0.010683233,5.98135E-06
170,7,Lowland Granite,LG2,0.020622704,9.28974E-06
170,7,Upland Granite,UG1,0.030301715,5.45343E-05
170,7,Lowland Granite,LG1,0.037082669,6.75237E-05
170,8,Montane,MO1,0.034254177,5.42653E-05
170,8,Upland Granite,UG2,0.020204163,1.80551E-05
170,8,Montane,MO2,0.014977822,1.4142E-05
170,8,Upland Granite,UG1,0.030702298,5.05845E-05
170,9,Freshwater Swamp,FS1,0.027460831,3.02018E-05
170,9,Peat Swamp,PS1,0.040871705,9.9769E-05
170,10,Freshwater Swamp,FS1,0.028525321,2.25424E-05
170,10,Lowland Granite,LG1,0.025026809,1.19388E-05
170,10,Alluvial Bench,AB1,0.033523785,5.48548E-05
170,10,Lowland Sandstone,LS1,0.031104135,4.13042E-05
170,11,Upland Granite,UG1,0.034435266,6.80008E-05
170,11,Lowland Granite,LG1,0.034596207,6.32687E-05
170,12,Montane,MO1,0.041956776,8.79405E-05
170,12,Upland Granite,UG1,0.029966946,4.38548E-05
